imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,show_id,type,title-1,director-1,cast,country-1,date_added,release_year,rating,duration-1,listed_in,description-1,year_added,month_added
tt0016123,The Monster,The Monster,1925,16/03/1925,"Comedy, Horror, Mystery",86,USA,English,Roland West,"Roland West, Crane Wilbur",Metro-Goldwyn Pictures Corporation,"Lon Chaney, Gertrude Olmstead, Hallam Cooley, Johnny Arthur, Charles Sellon, Walter James, Knute Erickson, Frank Austin, Edward McWade, Ethel Wales",A meek clerk who doubles as an amateur detective investigates some very strange goings-on at a remote mental sanitarium.,6.2,906,,,,,29,18,80150242,Movie,The Monster,Bryan Bertino,"Zoe Kazan, Ella Ballentine, Aaron Douglas, Christine Ebadi, Marc Hickox, Scott Speedman, Chris Webb",United States,"Wednesday, January 9, 2019",2016,R,91 min,"Horror Movies, Independent Movies",A troubled mother-daughter relationship faces the ultimate test when the duoâ€™s broken-down car leaves them trapped within reach of a vicious creature.,2019,1
tt0016123,The Monster,The Monster,1925,16/03/1925,"Comedy, Horror, Mystery",86,USA,English,Roland West,"Roland West, Crane Wilbur",Metro-Goldwyn Pictures Corporation,"Lon Chaney, Gertrude Olmstead, Hallam Cooley, Johnny Arthur, Charles Sellon, Walter James, Knute Erickson, Frank Austin, Edward McWade, Ethel Wales",A meek clerk who doubles as an amateur detective investigates some very strange goings-on at a remote mental sanitarium.,6.2,906,,,,,29,18,80150242,Movie,The Monster,Bryan Bertino,"Zoe Kazan, Ella Ballentine, Aaron Douglas, Christine Ebadi, Marc Hickox, Scott Speedman, Chris Webb",Canada,"Wednesday, January 9, 2019",2016,R,91 min,"Horror Movies, Independent Movies",A troubled mother-daughter relationship faces the ultimate test when the duoâ€™s broken-down car leaves them trapped within reach of a vicious creature.,2019,1
tt0018455,Aurora,Sunrise: A Song of Two Humans,1927,31/03/1928,"Drama, Romance",94,USA,English,F.W. Murnau,"Carl Mayer, Hermann Sudermann",Fox Film Corporation,"George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing, J. Farrell MacDonald, Ralph Sipperly, Jane Winton, Arthur Housman, Eddie Boland",An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,8.1,46069,200000,,121107,,250,186,81066244,Movie,Aurora,Yam Laranas,"Anne Curtis, Phoebe Villamor, Mercedes Cabral, Allan Paule, Andrea Del Rosario, Marco Gumabao, Arnold Reyes, Ricardo Cepeda, Ruby Ruiz, Sue Prado",Philippines,43580,2018,TV-14,98 min,"Horror Movies, International Movies",A fatal shipwreck spurs an islander innkeeper and her sister to recover the missing victims' bodies â€“ until the dead come seeking shelter themselves.,2019,4
tt0023460,Sherlock Holmes,Sherlock Holmes,1932,6/11/1932,Drama,68,USA,English,William K. Howard,"William Gillette, Bertram Millhauser",Fox Film Corporation,"Clive Brook, Miriam Jordan, Ernest Torrence, Herbert Mundin, Reginald Owen, Howard Leeds, Alan Mowbray, C. Montague Shaw, Frank Atkinson, Ivan F. Simpson, Stanley Fields",The famous detective is pulled away from retirement and his fiancée when the condemned Moriarty escapes from prison and swears vengeance.,5.7,131,,,,,12,7,70110558,Movie,Sherlock Holmes,Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong, Eddie Marsan, Kelly Reilly, James Fox, Hans Matheson, Geraldine James",United States,"Monday, April 1, 2019",2009,PG-13,128 min,"Action & Adventure, Comedies",Robert Downey Jr. stars as the legendary sleuth Sherlock Holmes in this Guy Ritchie-helmed reinvention of Sir Arthur Conan Doyle's detective series.,2019,4
tt0023460,Sherlock Holmes,Sherlock Holmes,1932,6/11/1932,Drama,68,USA,English,William K. Howard,"William Gillette, Bertram Millhauser",Fox Film Corporation,"Clive Brook, Miriam Jordan, Ernest Torrence, Herbert Mundin, Reginald Owen, Howard Leeds, Alan Mowbray, C. Montague Shaw, Frank Atkinson, Ivan F. Simpson, Stanley Fields",The famous detective is pulled away from retirement and his fiancée when the condemned Moriarty escapes from prison and swears vengeance.,5.7,131,,,,,12,7,70110558,Movie,Sherlock Holmes,Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong, Eddie Marsan, Kelly Reilly, James Fox, Hans Matheson, Geraldine James",United Kingdom,"Monday, April 1, 2019",2009,PG-13,128 min,"Action & Adventure, Comedies",Robert Downey Jr. stars as the legendary sleuth Sherlock Holmes in this Guy Ritchie-helmed reinvention of Sir Arthur Conan Doyle's detective series.,2019,4
tt0023460,Sherlock Holmes,Sherlock Holmes,1932,6/11/1932,Drama,68,USA,English,William K. Howard,"William Gillette, Bertram Millhauser",Fox Film Corporation,"Clive Brook, Miriam Jordan, Ernest Torrence, Herbert Mundin, Reginald Owen, Howard Leeds, Alan Mowbray, C. Montague Shaw, Frank Atkinson, Ivan F. Simpson, Stanley Fields",The famous detective is pulled away from retirement and his fiancée when the condemned Moriarty escapes from prison and swears vengeance.,5.7,131,,,,,12,7,70110558,Movie,Sherlock Holmes,Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong, Eddie Marsan, Kelly Reilly, James Fox, Hans Matheson, Geraldine James",Germany,"Monday, April 1, 2019",2009,PG-13,128 min,"Action & Adventure, Comedies",Robert Downey Jr. stars as the legendary sleuth Sherlock Holmes in this Guy Ritchie-helmed reinvention of Sir Arthur Conan Doyle's detective series.,2019,4
tt0023818,Blood Money,Blood Money,1933,17/11/1933,"Drama, Film-Noir, Romance",65,USA,English,Rowland Brown,Rowland Brown,20th Century Pictures,"George Bancroft, Judith Anderson, Frances Dee, Chick Chandler, Blossom Seeley, Etienne Girardot, George Regas","Bill Bailey (George Bancroft) is a Los Angeles, California bail bondsman who lives in a world of complete, casual corruption, where all he has to do is pick up the phone to get the charges ...",6.9,298,238591,,,,16,6,80209153,Movie,Blood Money,Lucky McKee,"John Cusack, Ellar Coltrane, Willa Fitzgerald, Jacob Artist, Ned Bellamy, Antonio Bell, Johanna McGinley",United States,43148,2017,R,85 min,Action & Adventure,Three friends on a wilderness trip find bags full of cash and must evade the criminal who hid the money in the first place.,2018,2
tt0023818,Blood Money,Blood Money,1933,17/11/1933,"Drama, Film-Noir, Romance",65,USA,English,Rowland Brown,Rowland Brown,20th Century Pictures,"George Bancroft, Judith Anderson, Frances Dee, Chick Chandler, Blossom Seeley, Etienne Girardot, George Regas","Bill Bailey (George Bancroft) is a Los Angeles, California bail bondsman who lives in a world of complete, casual corruption, where all he has to do is pick up the phone to get the charges ...",6.9,298,238591,,,,16,6,80175623,Movie,Blood Money,Vishal Mahadkar,"Manish Chaudhary, Kunal Khemu, Amrita Puri, Shekar Shukla, Teeshay, Mia Evonne Uyeda",India,42821,2012,TV-14,110 min,"Dramas, International Movies, Romantic Movies","Ambitious Kunal takes a job in the diamond business, but his life is thrown into turmoil when he's drawn into the seedy underworld of his new career.",2017,3
tt0024897,Blind Date,Blind Date,1934,11/02/1935,"Comedy, Romance",72,USA,English,Roy William Neill,"Ethel Hill, Vida Hurst",Columbia Pictures,"Ann Sothern, Neil Hamilton, Paul Kelly, Jane Darwell, Spencer Charters, Joan Gale, Mickey Rooney, Geneva Mitchell, Henry Kolker, Tyler Brooke, Billie Seward, Mary Forbes",A young woman is torn between a wealthy suitor who wants her body and the honest young man who wants what's best for her.,6.1,207,,,,,8,3,80123744,Movie,Blind Date,Clovis Cornillac,"MÃ©lanie Bernier, Clovis Cornillac, Lilou Fogli, Philippe Duquesne, GrÃ©goire Oestermann, Oscar Copp, Boris Terral, Manu Payet",France,42658,2015,TV-14,91 min,"Comedies, International Movies, Romantic Movies","A passionate pianist and a soulful puzzle maker who treasures silence aren't the best neighbors, but things get interesting when they start to date.",2016,10
tt0027669,Ghost Patrol,Ghost Patrol,1936,3/08/1936,"Crime, Romance, Sci-Fi",60,USA,English,Sam Newfield,Wyndham Gittens,Excelsior Pictures,"Tim McCoy, Claudia Dell, Walter Miller, Wheeler Oakman, James P. Burtis, Lloyd Ingraham, Dick Curtis",A professor invents a radium tube that makes internal combustion engines stop running. He and his invention are captured by a gang of robbers. A federal agent is sent to rescue him.,4.7,159,,,,,9,6,80118280,Movie,Ghost Patrol,Karen J. Lloyd,"Scott McNeil, Vincent Tong, Travis Turner, Shannon Chan-Kent, Lili Beaudoin",Canada,43009,2016,TV-Y7-FV,47 min,"Children & Family Movies, Comedies",Two kids and their pet dog (aka the Ghost Patrol) get a call about an old manor and soon find they are investigating their first real haunted house.,2017,10
tt0028331,Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd: The Demon Barber of Fleet Street,1936,1/03/1936,"Drama, Horror",76,UK,English,George King,"Frederick Hayward, H.F. Maltby",George King Productions,"Tod Slaughter, Stella Rho, John Singer, Eve Lister, Bruce Seton, D.J. Williams, Davina Craig, Jerry Verno, Graham Soutten, Billy Holland, Norman Pierce, Aubrey Mallalieu","A Fleet Street barber recounts the story of Sweeney Todd, a notorious barber who in the last century murdered many customers for their money.",6,813,,,,,34,23,70077544,Movie,Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,"Johnny Depp, Helena Bonham Carter, Alan Rickman, Timothy Spall, Sacha Baron Cohen, Jamie Campbell Bower, Laura Michelle Kelly, Jayne Wisener, Ed Sanders",United Kingdom,"Wednesday, January 1, 2020",2007,R,116 min,"Dramas, Horror Movies, Music & Musicals","After being falsely imprisoned, a vengeful murderer covers his tracks by enlisting the help of a baker whose meat pies become the toast of London.",2020,1
